table_id	lang	group	entry	meta	record	locations	text
0x003af52d	en	0x225e16	0x000000	0x0402	1863	1863:0x5d982688	Professor Gálvez comes from \nCosta Rica's University for Peace.
0x003af52d	en	0x225e16	0x000001	0x0402	1863	1863:0x5d982688	You see, over the past year,
0x003af52d	en	0x225e16	0x000002	0x0402	1863	1863:0x5d982688	there have been sightings of \nan armed group in Costa Rica.
0x003af52d	en	0x225e16	0x000003	0x0402	1863	1863:0x5d982688	They're not ours, of course.
0x003af52d	en	0x225e16	0x000004	0x0402	1863	1863:0x5d982688	Costa Rica doesn't have an army.
0x003af52d	en	0x225e16	0x000005	0x0402	1863	1863:0x5d982688	Correct.
0x003af52d	en	0x225e16	0x000006	0x0402	1863	1863:0x5d982688	Article 12 of our constitution states that
0x003af52d	en	0x225e16	0x000007	0x0402	1863	1863:0x5d982688	"the Army as a permanent institution\nis abolished."
0x003af52d	en	0x225e16	0x000008	0x0402	1863	1863:0x5d982688	The peace constitution...
0x003af52d	en	0x225e9d	0x000000	0x0402	1863	1863:0x5d982688	My name is Paz, and I will do anything\nto protect my namesake. 
0x003af52d	en	0x225e9d	0x000001	0x0402	1863	1863:0x5d982688	It is my one and only purpose.
0x003af52d	en	0x225e9d	0x000002	0x0402	1863	1863:0x5d982688	Please... get them out of my country... \nMake them leave Costa Rica. 
0x003af52d	en	0x225e9d	0x000003	0x0402	1863	1863:0x5d982688	Sorry, kid... 
0x003af52d	en	0x225e9d	0x000004	0x0402	1863	1863:0x5d982688	We know who you are, Big Boss.\nThat is why we've come to you.
0x003af52d	en	0x325df5	0x000000	0x0402	1863	1863:0x5d982688	Here.
0x003af52d	en	0x325df5	0x000001	0x0402	1863	1863:0x5d982688	Thank you.
0x003af52d	en	0x325e54	0x000000	0x0402	1863	1863:0x5d982688	Lies, obviously.
0x003af52d	en	0x325e54	0x000001	0x0402	1863	1863:0x5d982688	They're bringing in state-of-the-art \nweaponry and equipment by the shipload.
0x003af52d	en	0x325e54	0x000002	0x0402	1863	1863:0x5d982688	Where'd they get that kind of cash?
0x003af52d	en	0x325e54	0x000003	0x0402	1863	1863:0x5d982688	...I fear la CIA may be involved.
0x003af52d	en	0x325e54	0x000004	0x0402	1863	1863:0x5d982688	The CIA?
0x003af52d	en	0x325e54	0x000005	0x0402	1863	1863:0x5d982688	As you both know, the United States views\nCentral America as its backyard...
0x003af52d	en	0x325e54	0x000006	0x0402	1863	1863:0x5d982688	Even after Cuba, we've managed to\nmaintain a delicate balance with the U.S.
0x003af52d	en	0x325e54	0x000007	0x0402	1863	1863:0x5d982688	And your government\ncan't just give 'em the boot?
0x003af52d	en	0x325e54	0x000008	0x0402	1863	1863:0x5d982688	We are not allowed to bear arms.
0x003af52d	en	0x325e54	0x000009	0x0402	1863	1863:0x5d982688	Japan's constitution has something \nsimilar... Article 9.
0x003af52d	en	0x325e54	0x00000a	0x0402	1863	1863:0x5d982688	It says Japan renounces war,\nand can't maintain an army.
0x003af52d	en	0x325e54	0x00000b	0x0402	1863	1863:0x5d982688	I understand that you and your men have\nneither state nor ideology.
0x003af52d	en	0x325e54	0x00000c	0x0402	1863	1863:0x5d982688	...That you will fight any foe.
0x003af52d	en	0x325e54	0x00000d	0x0402	1863	1863:0x5d982688	Please, you must drive them out of \nour defenseless country.
0x003af52d	en	0x325e54	0x00000e	0x0402	1863	1863:0x5d982688	We come to you, \nthe Militaires San Frontières.
0x003af52d	en	0x4bcf29	0x000000	0x0402	1863	1863:0x5d982688	So, you want to hire us?
0x003af52d	en	0x4bcf29	0x000001	0x0402	1863	1863:0x5d982688	Yes. As our deterrent.
0x003af52d	en	0x4bcf29	0x000002	0x0402	1863	1863:0x5d982688	...We can't afford to pay much, it's true.
0x003af52d	en	0x4bcf29	0x000003	0x0402	1863	1863:0x5d982688	But,
0x003af52d	en	0x4bcf29	0x000004	0x0402	1863	1863:0x5d982688	we can offer you this, \na forward operating base.
0x003af52d	en	0x4bcf29	0x000005	0x0402	1863	1863:0x5d982688	... an offshore plant in the Caribbean.
0x003af52d	en	0x4bcf29	0x000006	0x0402	1863	1863:0x5d982688	Sounds pretty good to me.
0x003af52d	en	0x4bcf29	0x000007	0x0402	1863	1863:0x5d982688	This place is becoming a mess anyway.
0x003af52d	en	0x4bcf29	0x000008	0x0402	1863	1863:0x5d982688	Snake, we need someplace \nwe can settle down. 
0x003af52d	en	0x4bcf29	0x000009	0x0402	1863	1863:0x5d982688	The government's agreed to cooperate \n... unofficially, of course.
0x003af52d	en	0x4bcf29	0x00000a	0x0402	1863	1863:0x5d982688	A chopper for transport'd be nice, too. 
0x003af52d	en	0x4bcf29	0x00000b	0x0402	1863	1863:0x5d982688	...I'll see what I can do.
0x003af52d	en	0x4bcf29	0x00000c	0x0402	1863	1863:0x5d982688	Hold it!
0x003af52d	en	0x4bcf29	0x00000d	0x0402	1863	1863:0x5d982688	You seem to think we're just a pack \nof "dogs of war." Is that right? 
0x003af52d	en	0x4bcf29	0x00000e	0x0402	1863	1863:0x5d982688	Yes, that's what I've heard. \nYou're an army without a state... 
0x003af52d	en	0x4bcf29	0x00000f	0x0402	1863	1863:0x5d982688	No... We've only left our countries behind.
0x003af52d	en	0x4bcf29	0x000010	0x0402	1863	1863:0x5d982688	Please! You must help us!
0x003af52d	en	0x4bcf29	0x000011	0x0402	1863	1863:0x5d982688	If your suspicions are true,\nforce isn't gonna do any good.
0x003af52d	en	0x4bcf29	0x000012	0x0402	1863	1863:0x5d982688	You'll have to find a political solution.
0x003af52d	en	0x4bcf29	0x000013	0x0402	1863	1863:0x5d982688	The government's hands are tied!
0x003af52d	en	0x4bcf29	0x000014	0x0402	1863	1863:0x5d982688	Go back to your bosses in San José.
0x003af52d	en	0x4bcf29	0x000015	0x0402	1863	1863:0x5d982688	Tell them if they want, \nI'll introduce them to a negotiator I know.
0x003af52d	en	0x4bcf29	0x000016	0x0402	1863	1863:0x5d982688	No,
0x003af52d	en	0x4bcf29	0x000017	0x0402	1863	1863:0x5d982688	I'm not here on their behalf.
0x003af52d	en	0x4bcf29	0x000018	0x0402	1863	1863:0x5d982688	So what are you doing here?
0x003af52d	en	0x4bcf29	0x000019	0x0402	1863	1863:0x5d982688	For over twenty years, I've preached \nthe virtues of peace at multiple universities.
0x003af52d	en	0x4bcf29	0x00001a	0x0402	1863	1863:0x5d982688	Tonight, I stand before \nyou as an educator. 
0x003af52d	en	0x625e80	0x000000	0x0402	1863	1863:0x5d982688	They've got a supply port north of Puerto\nLimon, a town en la costa del mar Caribe.
0x003af52d	en	0x625e80	0x000001	0x0402	1863	1863:0x5d982688	A few days ago, Paz stumbled upon that \nfacility while searching for a lost friend. 
0x003af52d	en	0x625e80	0x000002	0x0402	1863	1863:0x5d982688	She was captured.
0x003af52d	en	0x625e80	0x000003	0x0402	1863	1863:0x5d982688	She's only a child... sixteen years old. 
0x003af52d	en	0x625e80	0x000004	0x0402	1863	1863:0x5d982688	They did... terrible things to her. \nBut somehow she managed to escape. 
0x003af52d	en	0x625e80	0x000005	0x0402	1863	1863:0x5d982688	My God...
0x003af52d	en	0x625e80	0x000006	0x0402	1863	1863:0x5d982688	She's huerfana. \nHer mother died when she was small,
0x003af52d	en	0x625e80	0x000007	0x0402	1863	1863:0x5d982688	and she lost her grandparents \nin the civil war.
0x003af52d	en	0x625e80	0x000008	0x0402	1863	1863:0x5d982688	She hates war with a passion like no other. 
0x003af52d	en	0x7a8b99	0x000000	0x0402	1863	1863:0x5d982688	This is my student.\nShe came to me to study peace. 
0x003af52d	en	0x7a8b99	0x000001	0x0402	1863	1863:0x5d982688	Her name is Paz. Paz Ortega.
0x003af52d	en	0x7a8b99	0x000002	0x0402	1863	1863:0x5d982688	Paz...? "Peace?"
0x003af52d	en	0x7a8b99	0x000003	0x0402	1863	1863:0x5d982688	No kidding? That's my name, too.
0x003af52d	en	0x7a8b99	0x000004	0x0402	1863	1863:0x5d982688	Kazuhira... it's Japanese for "peace." 
0x003af52d	en	0x7a8b99	0x000005	0x0402	1863	1863:0x5d982688	Pleased to meet you, Paz. Call me Kaz. 
0x003af52d	en	0x825e31	0x000000	0x0402	1863	1863:0x5d982688	You think it's rebels\nwho've fled Nicaragua?
0x003af52d	en	0x825e31	0x000001	0x0402	1863	1863:0x5d982688	No no...They don't appear to be guerillas. \nThey're far too organized.
0x003af52d	en	0x825e31	0x000002	0x0402	1863	1863:0x5d982688	What's your government's take?
